Text,Sentiment
"everyman dies but not everyman realy lives en sevdiğin film ne derlerse bu filmi söylerim. aşk, savaş sahneleri, intikam duygusu senaryoya uyumlu bir şekilde çok iyi işlenmiş. Filmi bence klasik film yapan, unutulmayacak savaş sahnelerinin yanısıra mel gibson'ın oyunculuğu, filmi unutulmaz yapan ise william wallece'nin FREEDOM şeklinde bağırması insaların tüylerini diken diken etkileyen bir sahne olmasıydı...",P
"seviyorum ya bu filmi, bilmem kaçıncı kez yine izledim, tipik bi duygusal komedi olduğu şüphesiz ama '(I Cant Get No) Satisfaction - The Rolling Stones' şarkısı filmi bambaşka yapıyor..Edward Burns sen nası bi insansın ya, gerçek olamicak kdr hoş :oops: ..***..",P
"Sinema tarihinin en taktire şayan filmlerinden biridir.Henry Charriere’in romanından uyarlanan filmde haksız yere hapis yatan ’’papillon’’lakaplı mahkumun özgürlüğünü elde etme adına giriştiği akıl almaz mücadele anlatılır.Fransız Guyanasında insan onuruna aykırı bir düzen içerisinde kürek cezasına çarptırılan mahkumların pejmurde hali de göz önüne alındığında,film inceden inceye cezalandırma sistemine de eleştiri oklarını yöneltir.Steve Mcqueen sinema tarihinin en dikkat çekici oyunculuklarından birini sergilemiştir.Kaçma girişimleri çoğu kez başarısızlıkla sonuçlanan papillonun tek kişilik hücrede verdiği mücadele ise filmin en akılda kalıcı sekanslarını oluşturur.Papillonun kafasını hücredeki ince bir aralıktan dışarıya uzattığı sahnenin dışında, papillonun aç bırakıldığı dönem içerisinde hücredeki böcekleri yiyerek enerji gereksinimini sağladığı,kendini zinde tutma adına o karanlık ve en fazla 5 adımın atılabildiği dar hücreyi arşınladığı diğer sahneler de dikkat çekici türdendir.Cezası dolduğunda dışarı çıkan Papillon hücreden kalma bir alışkanlıkla 5 adım atar;ama 6. adımı telaffuz edememektedir. Dustin HOffman kalın gözlüklerinin gerisinde ince bir duyarlılık taşımaktadır.Masum ve hüzünlü haliyle Papillo’nun korunmasına muhtaç bir görüntü çizer.Özgürlüğünü gerçekleştirme adına Papillon kadar inatçı değildir. Filmi en unutulmaz kılan sahne Papillon’un en ağır tecriti yaşadığı Şeytan Adasın’da geçer.Orda dostu Dega’yı akıl sağlığını ve gerçeklik duygusunu yitirmiş halde bulan Papillon, son kaçma girişimini akıl almaz bir planla başarıya ulaştıracaktır.Okyanusla çevrili bu adada günlerce dalgaların gel-gitini hesap eden Papillon hindistan cevizi torbalarıyla kendini okyanusun sularına bırakacak ve çok hak ettiği o özgürlüğe en sonunda kavuşacaktır. Filmdeki hüzünlü havayı bire bir yansıtan müzikler insanın ruhunu sarmalar.İnsanı herşeye karşın mücadeleye davet eden bir lirizm aşılar.Filmin 1973 yapımı olduğu dikkate alındığında görüntü yönetiminin de son derece başarılı olduğu söylenebilir. Papillon kendi adıma en çok sevdiğim filmlerden biridir.Bu ’’umut yüklü şarkıyı’’, sinema tarihinin klasikleri(kültleri) arasına koyarken herkese bu filmi izlemeyi öneriyorum...",P
"Dalında en iyisi..Oyunculuklar mükemmel, senaryo harikulade..",P
"vasat senoryo, basit konu, sonu baştan bellli, süper sarışın bile kurtaramamış...",N
"Alpha Dog’a, anlatmayı amaçladığı şey için saygı duyuyorum. Sharon Stone, Bruce Willis’in de arada bir görünüp renk kattığı esasen vasat bir film Alpha Dog. Finale doğru biraz hareketleniyor ama öncesi fevkalade sıkıcı ve itici geldi bana. İzlenmesi tavsiye edilecek bir film değil kanımca...",N
Godzilla abi bu filmi izlemeye degmez zaten bu yaratık berbat ya hiç birseye yaramaz boş bir filmmm.,N
"Gardiyan bizim allahımız,ekip başı peygamberimiz bu repliğiyle türk sinema tarihine altın harflerle kazınmış muhteşem bir başyapıt hatta kilometre taşı 10 üzerinden 10 100 üzerinden 100 1976da Ankara Merkez Kapalı Ceza ve Tutukevinde, Yılmaz Güneyin de tanıklık ettiği, cocuklar koğuşunda çıkan ve tüm cezaevine yayılan bir isyan konu edilmiştir. Bu olaydan derinden etkilenen Yılmaz Güney, isyanın arkasından gönderildiği Kayseri Cezaevinde Soba, Pencere Camı ve İki Ekmek İstiyoruz ismi ile bir roman yazmış ve film yurt dışına çıkışında Fransada bu roman üzerinde kurulu senaryo ile çekilmiştir. Tuncel Kurtiz ve Ayşe Emel Mesci dışındaki tüm oyuncular hayatlarında ilk kez kamera karşısına çıkmışlardır. Film Fransada oldukça zor şartlar altında çevrilmiştir.Ayrıca filmin ilgi çekici bir diğer özelliği ise, az da olsa Zazaca dilinın sinemada ilk kez kullanıldığı film olmasıdır. Tuncelili müzisyen Kadri Karagöz tarafından seslendirilen ""Haydêrê"" türküsü filmin unutulmazları arasındadır.",P
Film farklı bir konuya sahip olsada çok sıkıcı.hiç bir hareket yok.2 saat 10 dakka boyunca cennet tasviri ve konuşma başka da bir şey yok.peter jacksonı beğenirim ama bu filmini hiç beğenemedim izlerken yarıda bırakmayı düşündüğüm ender filmlerden biriydi.çok sıkıcı tavsiye etmem.,N
"yemin ederim bu filmi ben de yaparım aynısını. bana para verin,gideyim elisha yı koyayım paris zaten cepte iki de fit vücutlu genç delikanlı alsana film.puanlama yapan arkadaşlar ben anlamadım acaba ben yanlış film mi izledim.devri kapandı artık bu tarz filmlerin. 80 lerin sonunda kalktı hemde.eğer izlemediyseniz bundan sonra da izlemyerek yaşayın",N
"vasat sevgili arkadaşlar , film vasattan öteye gitmemiş. neden ? çünkü öncelikle filmin adında var sorun. düşündüğüm hayal ettiğim gibi değil . filmde mumya var evde mumya bu eve girişin var çıkışın yok tarzındaki reklamları duydum ve sonrası hüsran. filmde meğer mumya falan yok adamın biri gerçek insandan bal mumu heykel yapmaya çalışıyor. mumyayla ne alaka şimdi bu . filme dönelim sıradanlıktan öteye geçememiş, filmin sonu eh işte film nasıl 7,5 almış anlayamadım. eğer filme illlede gidecekseniz paris hiltonu görmeye gidin ama umarım benim gibi filmde hüsrana uğramassınız.",N
Ressident Evil benim büyük bir tutkuyla oynadığım bir oyundu hemen hemen yüm seriyi bitirmişimdir. Eskiden oyunu hep beyaz perdede hayal ederdim. İlk film çıktığında eyecanla sinemaya koştum ve... Hatımda hiç bi filmden bukadar Hayal Kırıklığıyla çıkmamıştım. Serinin tamamında Milla'dan aşka ilgi çekicek bir öğe yok Nemesis Jil ve Cleire çok sönük kalmış ve bütün filmlerin seneryosu berbat.,N
beklentilerim boşa çıktı gitmeye değmez serinin en kötüsü neredeyse tüm film cinsellikle ilgili shnelerle dolu ve espriler berbat gülmek için kendimi epey zorladım ..,N
film ortada kalmış bir film ya ne fantastik ne dram yani ispanya iç savaşının içine giriorsun adamların ne için mücadele yaptığını anlıorsun sonra bir anda başka bir sahnede mistik şeler büyüler yaratıklar yapılması gereken fantastik şeyler iki hikaye nasıl birleşiyor anlayamadım yapacaksan ispanya iç savaşına çek anlat o hikayeyi ya da tam bir fantastik hikaye yap yani iki alakasız konuyu helal olsun birleştirmek cesaret ister ç,N
"Çok güzel bir film. Romantizm, komedi, aşk... DVD sini arıyorum umarım bulurum.",P
Yaaa ne çocuğu yaaa.....,N
Robert De Niro'ya yakışmayan bi film olmuş.. adamın adı var diye konusuna bile doğru dürüst bakmadan hemen izleyim dedim ama resmen şaşırıp kaldım.. tavsiye etmem.. bitsin bitsin die bekledimmm...,N
Devam filmleri genelde ilk filmin altında kalır ama bu kadar mı kalır?! Filmdeki tek hoşluk Vincent Cassel ve onun lazeri geçerken yaptığı şovdu.,N
evet arkadaşlar günümüz kapitalist sisteminin aileleri ve toplumu nasıl yozlaştırdığını bireyselleştirdiğini ve birbirinden kopardığını görmek isteyenlerin şiddetle izlemesi gereken bir film.ben filmi izlemeden önce bana filmin o kadar da güzel olmadığı söylenmişti.ama şu bir gerçek ki izlediğim en ii filmler listesinde ön sıralarda yer alacak bir film.ve birde kevin spacey a bir parantez açmak istiyorumşu anda bence holyywood da kendini kanıtlamış enii oyunculardan bir tanesi.,P
cidden vasat altı bi filmdi.. 89 dakka olsa bile izlenmez.. uma thurman ve sean connery var diye aldanmayın sakın.. olmamışş...,N
dayım motorcudur benim.motor klüpleri ile toplaşıp gittiler bi gün bu filme sanmışlarki motor ile ilgili güzel bi film.fekat hayal kırıklıına uuramışlar.motor sevdası ile gidenlere pek tavsie etmiorum yani :),N
"son 20 yılın seri üretim-kalıp gerilim filmleri kuşağına tutunup medet ummuş dravdan bir ispanyol filmi. izleyende ""bu film şeye benziyo ya, var ya hani?"" tepkisi uyandırıyo hep bu yüzden. bu da filmin başarısızlığına çok büyük bir kanıt. sonuç itibariyle: geçelim.",N
çok kotu bır fılım baskada sölenecek bısede yok,N
çok kaliteli ve eğlenceli bir film:),P
artık efektler matrix vari olmaya başladı heryerde aynı sahneleri görmekten sıkılmaya başladım artık yavaş yavaş.. film çok akıcı değil ve benim şahsen hoşuma gitmeyen bir filmdi ama hatuna hasta olmadım desem yalan olur :),N
Bir kere filmin görüntüsü görünce basit bir film olduğu anlaşılıyo.Diğer hollywood filmlerine göre çok basit kalmış. Angelina Jolie hariç diğer oyuncuların hiç bir karizmazı yok filmde. Bence boşa çekilmiş bir film.,N
Şahane bir işçilik ve sıkı bir senaryo...,P
yaw adamım Tom Hanks oynarda fılm kotu olurmu soyle bısey demek ıstıyorum fılmın basından sonuna kadar baska bırıı oynasa katlanamazsınız neyse sıddetle tavsıye edıyorum 10/10,P
emin.olun.sinema.tarihi.bir.daha.böyle.bir.oyunculuk.göremeyecek.100/100/,P
Amerikan Vietnam Savaşı filmleri açısından en ironik ve en ibret verici öykülerinden biri. Hatta Steven Spielbergin Er Ryan'ı Kurtarmak filmi de bu filmden esinlemeler görülür. Brian De Palma nın en iyi filmlerinden ve kuytu köşede kalan filmlerden biri olmasına rağmen seyirliği sıkmamaktır. Başarılı bir yapım.,P
"sinemada devrim yapan bir yönetmen, lars von trier’den devrim yaratan bir film... kusursuz, harika, ....",P
çekildiği döneme göre oldukça iyi bir aksiyon ve macera filmi..yapılan abartıların da yerli yerinde olduğunu düşünüyorum.heyecan hep hat safhada ((= 9/10,P
"Sarışın, melek yüz, çirkin ve müzikler ile zamana karşı gelen bir film.",P
çoğu kişi beenmiş we kusursuz olduunu söylüo.Bence kusursuz bi yani yoktu bundan daha ii filmlerde war ama bu filmin kötü olduu anlamına gelmio film cidden güsel konu anlamlı ama abartılacak bi süperliği yok bence...,P
bence de bugüne kadar yapılan en iyi belgesellerden biri.moore büyük emek harcamış ve ödüllerle karşılığını almış.ayrıca filmde amerikan hükümetinin olaylara nasıl seyirci kaldığını da görüyorsunuz.ve birilerinin nasıl ceplerini doldurduğunu.fahrenheit 9/11 de gayet başarılı bir belgesel.umarım michael moore çarpıcı belgesellere devam eder.,P
50 kere izlesem bıkmayacağım bir film.. Hiç bir savaş silah kullanılmadan bu kadar güzel anlatılamaz... Bruce Willis’İn hakkını da yememek lazım... Güzel Yapım,P
"bazı kitaplar içinde anlatılan konuyu, içerdikleri temayı direk alıp isim yapar kendine; konu aldatmaysa kitabın ismide ""aldatma"" olur yada açgözlülükse ""tamahkarlık"" ve bu tarz kitaplarda gerçekten de yazı o belirlenen konu etrafında döner, hep o konu anlatılır katıksız ve net bir biçimde. bu filmde tıpkı o kitaplara benzemiş.. bir konu belirlenmiş ""tesadüf""/""kader"" ve abartılı bir biçimde her şey tesadüfü anlatmak için görselliğe dönüşmüş, çok abartıldığının farkına varılmadan hem de. yani filmin başlarında ortaya atılan tohumların filmin sonunda ne kadar büyüyebileceğini, hatta filmin sonlarına doğru tüm bunların tesadüfi geri dönüşümünün kader fikriyle anlam kazanmasının filmin malum isminin izahatı olduğunu tahmin etmeniz çok zor olmuyor bu yüzden de sıkılıyorsunuz. ayrıca film müzikleri çok zayıftı, çok uzun diyaloglar ve müziksiz geçen dadikalar bayağı sıktı beni açıkcası, kate beckinsale gibi bir oyuncunun kariyerinde kötü bir örnek, en pasif başrol oyunculuğu olmuş bence.. bir konu insanların adeta gözlerine sokmaya çalışırcasına anlatıldığı ve görsellik açısından da zayıf kaldığı zaman pek de hoş olmuyor kanımca.. aldığı puanı haketmediğini düşünüyorum ve aşkın abartıldığı kadar işlenmediğini de tabiki...6/10",N
bu ne ya bu ne Crow gibi bir efsaneyi yıkmak isteyen her kargadan bir crow filmi olur diye düşünenler sizlere yazık bir efsaneyi yokediyorsunuz,N
ilk terminatör filmi çıktığında mantık hatalarını yani teknolojik gelişmişliğine rağmen robotun dibindeki insanı görmemesi gibi vb. gibi bir çok hatayı türünde ilk olduğu için aksiyon heyecan ve meraktan fazla irdelenmemişti devam filimlerinde de 2 ve 3tede kalite azalmasına klişeleşmesine rağmen getirdiği yenilikler açısından konu güzel bağlanmıştı ama bu 4.cü filimde ne konu güzel bağlanmış ne sürükleyicilik nede gelecekteki teknolojik gelişmişlik yansıtılmış sanki ilk terminatör filminde bile parça parça verilen gelecekten görüntülerdeki sahneler bile daha ilgi uyandırıcıydı ve herkesin merakla beklediği bu dehşet senaryosuydu ama bir baktıkki ortaya bir iki robot görüntüsü ve sonlara doğru klişeleşmiş komedi tadında arnold sahnesi yani artık robotlar bu erimiş maden olan yerlerden uzak durmalılar herzaman aynı tuzağada düşülmezki :) baydı artık erimiş metal sahneleri Konu sürükleyici olmayınca filimdeki bütün mantık hataları tere yağı gibi su yüzeyine çıkıyor 3/10,N
sonunun bağlanması dışında can sıkıcı neden hala bu tür vudu büyüsü filmleri çekilir ki kırmızı kum dök oradan karşıya geçemez işte bir örneği de zehir daha da gelecektir ne yazıktır ki bu tür filmler 10/1,N
"film farklı başladı, farklı ilerledi, farklı bitti tuhaf sıkıcı bir film",N
kadroda metin akpınar bile var minik bir rolde:) ikinci film kült niteliğinde ama bu ıhhhh,N
"Japonlar bu isi bilmiyor.Japon filmi oldugunu bilseydim gitmezdim.Konu sacma sapan,sonu berbat Japonlar her sey gibi bunada el attılar ama beceremediler japaon filmlerine verdigim paraya acıyorum.Kaliteli sıradısı bi film yapmak istiyorlarsa bence ''testere'' filminden örnek alsınlar.Bosuna gidipte zamanınıza ve paranıza yazık etmeyin. Tek kelimeyle berbat bir film.....",N
Film seri olarak çok iyi bence. Hele de bilimkurgu severler için nimet olarak tabir edilebilecek bir seri. Gece itibari ile serisini izlemeye koyuldum ahan da yeni bitti. Kaçtır izliyorum hep aynı zevk hep aynı korku :),P
kendimize eziyet etmek pahasına ilk cd yi izlemeye anca katlanabildik ve daha fazla eziyet etmedik =),N
"bu filme verilen puan gercekten az , su anda aklıma recep ivedik dünyayı kurtaran adamın oglu gibi filmleri getiriyorum onlardan kat kat daha iyi bir film. Bu film kesinlikle 7 den yüksek bir puanı hakediyor.",P
"büyük bi Robert De Niro hayranıyım ve yine bu filmde de muhteşem bi oyunculuk sergilemiş.her rolün kalıbına giren bi oyuncu veee Al Pacino da muhhhhhteşemdi,piskopat teğmen rolü müthiş yakışmış ((= 10/10",P
"bu film için ne desem boş durun sıralayayım1.tüm zamanların en iyi korku filmi2.sizce abartıyor olabilirm ama bence sinema tarihinin de en iyi filmi.3.hayranı olduğum hitchcock’un başyapıtı.daha ne söyliyim.müthiş bi gerilim, müthiş norman bates karakteri,sinema filmlerinden unutulmaz sahneler arasında bir numara olan en iyi cinayet sahnesi o kanlı duş sahnesi. bu filmin vcd sini bulabilmek için neredeyse tüm şehri dolaştığımı hatırlıyorumama değer. ya süper yaaa..",P
Şehir Işıklarında Chaplin;komedi filmlerinin tüm unsurlarını bu filmde özgürce kullanmış.Bu da seyircinin bir filmden bekledigi sıcaklıgı vermedeki başarısının yansıması.Filmdeki hareketlilk ve heyecan verici nitelikleri kısarak seyircinin filmin dramatik havasını teneffüs etmesini kolaylaştırmış.Film sosyo/politik eleştirilerini seyirciye sessiz fakat sert ve agır bir sekilde ekrana yansıtıp izleyicisiyle paylaşıyor.Bu film esneklik ve zeka inceligini olagan üstü bir sadelikle harmanlayarak popilist hiç bir yaklaşıma bulaşmadan bizlere ulaşıyor. Chaplin'in komedi sinema tarihini yaratan filmlerininden sadece biri.,P
şüphesiz izldeğim en iyi aksiyon gerilim filmi benim hiç bu kadar aksion filmi hoşuam gitmezdi filimizn konusus ve seneryosu müthişti oyunculuk harika yani tek kelim ile harkulede bir yapıt olmuş,P
film çok kötü arkadaşlar..,N
"düş kırıklığı içindeyim...bu bir bilimkurgu değil, felaket filmi olabilir ancak...ne savaşi ne uzaylısı...yarım yamalak geçiştirilen bir başlangıç ve bir son...dakota fanning bile olabildiğince berbat...o çığlık attıkça benim susturasım geldi...hakkaten, çığlık atmak dışında ne yaptı bu kız? ne uzaylısı,ne savaşı...bu bir aile filmi...kutsal amerikan ailesi,vs... ayrıca bir arkadaşın dediği gibi,saniyede bir kişinin öldürüldüğü bir ülkede sadece iki kişide silah bulunması oldukça komik, inandırılığı yok... dünyalar savaşı filmin adı...hangi dünya, hangi savaş? 3-5 tane tank, helikopterle savaş yaptıkalrını sanan bir senaryo, bir reji... akılda kalıcılığı asla olmayacak, sabun köpüğü gibi içi boş,bol efektli, spielberge hiç ama hiç yakışmayan bir yaz filmi... filmin 4 temmuzda gösterime girmesini beklerdim ama hayret, olmadı. ne oynadığını kendisinin de anlamadığı bir tim robbins!....yazık!... ha, hiç mi iyi yanı yok...var...o da gayet iyi bir oyun çıkaran tom cruise... ve gümbür gümbür ses efektleri...",N
Müthiş bi film müthiş bi hikaye ashley judd ın en güzel filmi diyebilirim hatta sinemada gittim ilk başlarda anlayamadım olayı ama sonra çok hoş bi kurgu çıktı ortaya zaman kaybı kesinlikle değil,P
"Kırmızıgül,magazin bir figürü olduğu için pek sinemasal bi yeteneği olmadığına inanıyorum.Filmdeki kadroya bakınca,m.kırmızıgül dersine çalışmış birşeyler yapmış inancıyla izledim.Ama malesef kırmızıgül sinema yeteneğinden uzak biri.Dostlar alışverişte görsün bizi alkışlasın filmi olmuş.",N
"Kofteye katılıyorum,bence de harika bi filmdi.Zaten Morgan Amca hiç kötü oynar mı:)Ne büyük adam,tanışmak isterdim.Yanaklarını sıkasım geliyo hep.",P
"Fincher ın çektiği beş filmin 3 ü başyapıt bunlar Seven,the game,fight club.3 ü de harika",P
"Tenenbaum Ailesi oyuncu kadrosu bakımndan mükemmel olan fakat aynı başarıyı ne konusunda ne de performansında gösterebilen kötü olmaktan kurtulamayan bir film.Gwyneth Paltrow,Ben Stiller,Gene Hackman,Anjelica Hustonla kesinlikle çok daha iyi bir film çıkartılabilirdi ancak sanırım filmin kötülükten kurtulamamasını nedeni oyunculuğundaki başarıyı ne yazıkki senarist olarak sürüdüremeyeceği sinyallerini veren Owen Wilson.Sinemada izlerken ilk yarı sonunda koltukların yarısından çoğunun boşaldığını hatırlatmamda da yarar var.Zaten film ABD ve İngilterede de istediği gişe başarısını yakalayamamış.Sonuç itibariyle vasat ve neden yapıldığı anlamsız olan bir film.",N
"gerçekten de izleyipte duygulanmamak elde değil...konusu ve olay örgüsü çok iyi...son 10 dakikası da duygu seli adeta... kevin costner da, filmde bir türlü iyi mi kötü mü olduğunu anlayamadığım butch karakteriyle harikalar yaratmış...rolünün hakkını fazlsıyla yerine gitermiş... ee bunada clint eastwood gibi büyük bir ustanın hem müthiş yönetimi hemde oyunculuğu eklenince izlenmesi gereken mükemmel bir yapıt çıkmış...10/9",P
bence bile bu film insanlarla dalga geçilmek için yapılmış.uzun zamandır sinamada bu kadar kötü bir film izlememiştim.böyle iyi oyuncularla böyle kötü bir film çıkarmak zor olsa gerek.,N
"Rahmetlinin, beni ve seyreden bir çok kişiyi kahkahalara boğduğu, çok eğlenceli bir komediydi...",P
"1970 tarihli, kimilerine göre bir başyapıt olarak görülen bu doğu sentezli filmi hiç beğenmedim, hatta izleyip bitirene kadar atla karayı seçtim diyebilirim. Alejandro Jodorowsky'nin hem oyuncu hem de yönetmen olarak karşımıza çıktığı bu filmin birkaç sahnesi dışında çokta ilgi çekici bir çalışma olduğunu düşünmüyorum. Kopuk kopuk ilerleyen bir filmdi ve bir bütünlük yoktu. İzlemeden önce beklentilerim çok olmasa da yinede doğal olarak güzel bir film bekliyordum ama olmadı. Uzun zamandır böyle sıkıcı bir film izlememiştim?",N
mathilda 1988 arkadaşım senin tavsiye ettiğin filmleri merakla izliyorum hepsi fiyasko bu çizg filmin neyi yetişkinliklere yönelik yada senin komedi anlayaşın ne çözemedim. bence sıradan bir animasyon. :(,N
Öncelikle bence komedi filmi değil.Etkileyici güzel bir film.9/10,P
çok da etkileyici bi film değildi hatta sıkıcı da diyebilirim hiç bi renk hiç bi heyecan ve yoğunlaşma bulamadım müzik bile yoktu ayrıca bir ayrıntı dil sürçmeleri de vardı,N
"bence bi espirsi kalmadı sondurak serilerinin 1. si süperdi gerçektende geriyo ve ölümün nasıl olcağını heyecanla bekliyordum, ancak kalite 2. ve serinin bu 3. filminde iyice düştü zorlama bi senaryo gibi geliyor, kendinizi tam olarak olayların içinde hissedemiyorsunuz, böyle olunca da gerilimin dozu ve alacağınız keyif azalıyor. umarım 4. çekilmez....",N
Açıkcası ben pek beğenmedim beni hiç sarmadı hatta arkadaşımla salondan cıkalımmı dedik bi ara 10/5.,N
"Böyle trilogy filmlerinde son bölümü de izledikten sonra tüm yorumlarımı birinci filme yazıyorum. Bence en güzeli birinci filmdi, diğerlerinde bu güzellik ivmesi düştü. Finalini de açıkçası beğenmedim. Ama yine da bakıldığında sinema tarihi için dönüm noktası olanbilecek bir film. Son olarak 'Everything that has a beginning has an end' 9/10",P
yapılan en iyi rabin hood filmi 10/9,P
"ne zaman yeterince emek ve para harcanmış kaliteli ,bekledigimiz korku filmlerine kavuscaz ya :(",N
arkadaşlar bu filmin görsel güzelliğinden başka nesinden hoşlandılar anlayamadım doğrusu.seyrettiğim sinema salonunda bir arkadaşın da dediği gibi kahkahalara ben de şahit oldum. hasılı konu ve hikaye olarak bayağı bulduğum bu film görsel malzeme açısından güzeldi fakat izlemeyenlere tavsiye edemeyecceğim.,N
10 yıllardır bu filmleri izler dururuz. hep aynı paranoyanın mahsülü bunlar. hani türkiye 2005'de çöl olacaktı. bu saçmlıklar ve sadece efektlerden oluşan içi boş filmlerden sıkıldım artık!!,N
az once ciktim filmden. yorum yazmak adetim degildir ama iyilik yaparim diye dusundum. film gereksiz bi sekilde cok uzundu bitmek bilmedi bi turlu ve kesinlikle cok sıkıldım! 12 sayiyi bi filme sigdirmaya calisinca demekki film uzun ve sıkıcı oluyomus. filmin en sonunda artik dayanamayip ciktim bitmek uzere oldugunu dusunup (salondan tek cikan ben degildim). megersem 15-20 dakika daha varmis bitmesine filmin. gereginden fazla uzun olmus. arada verilen politik mesajlar da pek ciddiye alinip dinlenicek gibi degildi. 160dakikalik filmde 30 dakikalik bi aksiyon vardi heralde.. yok ben romaninin hayraniyim benim icin ayri bi yeri var diyosaniz buyrun izleyin ama cizgi romanla da alakaniz yoksa gitmeden once bi kac kez dusunun derim.,N
"Filmde, oyunculuklarda (Oyunculuğunu beğendiğim Okan Bayügen dahil ) çok kötü. Hiç boşuna zaman kaybetmeyin. Televizyon izlerken rastalayabileceğiniz herhagi bir film bile daha izlenmeye değer olabilir.",N
Filmde çok iyi bir aşk öyküsü var.Bir başyapıt.Filmi uykusuz kalıp uyandığım zaman izledim.Hem komik hem de dramatik.Gerçek bir başyapıt.Özellikle Audrey Hepburn'û bu filmde izleyin.,P
vizyonda gösterildi mi bilmem ama ben 10-12 kez tv de farklı kanallarda izledim son derece heyecenlı ve eğlenceliydi mel gibson cidden çok iyi girmişti role tahminimce memlekette bu filmi izlemeyen kimse kalmamıştır ama varsa izlemeyen tavsiye ederim verdiğiniz zamana cidden değecek bir film,P
Çocuğun ölüleri gördüğü sahnelerde insan ister istemez geriliyo. Ayrıca harika bir sonu var. Bruce Wills'in performansıyla da 10/9u hakediyor.,P
"Çok kötü bir filimdi bence.Bir daha kesinlikle izlemek istemiyorum.Bütün filmleri ikinci defa seyrettiğim halde bir tek bu filmi ikinci defa seyredemedim.Allah düşmanıma seyrettirmesin :))))))Nedenine gelince:bir film bu kadarmı sıkıcı bu kadarmı temposuz olur be kardeşim.80li yıllarda karanlık atmosferlerde çekilen,anlamsız entel türk filmleri bile bu filmin yanında daha akıcı ve anlamlı kaldı valla.Bu filmi izlerken o filmleri arar oldum.Hele o küçük oyuncunun acayip kısık bir sesle Bruce Wills'e 'Ölüler Görüyorum' demesi yokmuydu.Resmen gıcık etmişti beni.Ama dahada önemlisi bu filmin bu kadar süper bir filmdi ,şaheser bir filmdi gibisinden değerlendirilmesine hiç anlam veremiyorum açıkçası.",N
"ikinci filmi çıkınca bunada bi yorum yazalım dedim.bi kere bu filmde jim carreyin performansı yeter ki;jeff daniels de süper oynamıştı.bide ikinci filme bakalım,ossuuruktan bi devam flimi işte",P
"Sürekli insanı ters köşeye yatıran , senaryosuyla hayran bırakan bir film . Oyuncu performansları ve yönetim de oldukça başarılı . Sonu usta işi :) . Şiddetle öneririm :) ... 10/9 .",P
SİNEMA TARİHİNDE KESİNLİKLE İLK ONA GİRER,P
"Titanic beni sinemayla buluşturan filmdi.İzlediğimde 10 yaşındaydım.7,8 defa izlemişimdir.Her izlediğimde de beni şimdiki programlanmış hayatımdan o günlere geri götürüyor.Muhteşem bir film ve kesinlikle bir başyapıt...",P
"Hallowen'den çok çok daha iyi bir film.. En azından az saçmalayan bir film; ve sonuna kadar gerilimden ödün vermiyor, müzikleri de çok iyiydi..9/10",P
1 numaradır.,P
"İlk izlediğimde oldukça etkilenmiş ve şaşırmıştım. Çok değişik, ilginç, farklı bir film. İyi film izlemek isteyenler hiç düşünmeden alıp, izleyip, arşivine koyabilir. Şaşırmaya hazır olun! :)",P
Simdiye dek izledigim en iyi filmler arasinda basi cekiyor gibi.,P
